beer_style,beer_name,beer_id,brewery_id
American Barleywine,Wheelchair,66845,1
American Black Ale,Cascadian Dark Ale,68447,1
American Double / Imperial IPA,Ballz Deep Double IPA,53679,1
English Pale Ale,British Pale Ale,53677,1
Foreign / Export Stout,Barrel Aged Port Royal Stout W/ Vanilla Beans,58128,1
Saison / Farmhouse Ale,Saison Du Sept Mers,64423,1
Winter Warmer,Santa's Smokin' Winter Warmer,65639,1
American Adjunct Lager,Club Premium Lager,5181,2
American Amber / Red Lager,Sakara Red,27590,3
American Malt Liquor,Sakara King,35982,3
Dortmunder / Export Lager,Stella Export,27588,3
Euro Strong Lager,Stella Premium,27585,3
Euro Strong Lager,Meister Max,27589,3
California Common / Steam Beer,Gold Rush Steam Beer,54366,4
Eisbock,Eisbock,64391,4
California Common / Steam Beer,Taste 25,51413,5
Chile Beer,Sherbrooke Aaiieeeeeeeeee Caramba! - Serrano Chili,45796,5
Chile Beer,Sherbrooke Aaiieeeeeeeeee Caramba! - Thai Green Chili,46315,5
Kristalweizen,Herbstweizen Krystal Weizen,36951,5
Euro Strong Lager,Amsterdam Navigator,13545,6
Bock,Amstel Bock,1418,7
Dortmunder / Export Lager,Amstel Gold,1415,7
Euro Dark Lager,Amstel Oud Bruin,1419,7
Euro Pale Lager,Amstel Bright,3386,7
Euro Pale Lager,Amstel (Pure Filtered),33584,7
Euro Pale Lager,Amstel Lager,1414,7
Euro Strong Lager,Amstel Sterk (Strong),66308,7
German Pilsener,Amstel 1870,1413,7
Light Lager,Amstel Light,436,7
Low Alcohol Beer,Amstel Malt,59239,7
Maibock / Helles Bock,Amstel Lentebock,1417,7
American Brown Ale,Brockway Brown,32759,8
American Pale Wheat Ale,C Street Wheat Ale,41492,8
Doppelbock,'Tis The Seasonator,77070,8
Foreign / Export Stout,O Danny Boy Irish Stout,41490,8
Saison / Farmhouse Ale,Frenchie's Cove,77066,8
English Dark Mild Ale,Dark Mild,13928,9
English Dark Mild Ale,Autumn Brew,13929,9
English Dark Mild Ale,Rite Spooky Brew,13930,9
English Stout,Oyster Stout,21110,9
Happoshu,Asahi Honnama Aqua Blue,11968,10
Happoshu,Asahi Shinnama,26215,10
Happoshu,Asahi Honnama Clear Black,32654,10
Happoshu,Asahi Honnama Red,19641,10
Japanese Rice Lager,Asahi Super Dry,2779,10
Japanese Rice Lager,Asahi Super Yeast Kokukoku No Nama Beer,28330,10
