brewery_name,brewery_id
7 Seas Brewery and Taproom,1
Accra Brewery Limited,2
Al Ahram Beverages Company,3
Alcatraz Brewing Co.,4
Alley Kat Brewing Company,5
Amstar,6
Amstel Brouwerij B. V.,7
Anacapa Brewing Company,8
Archers Brewing & Wholesale Limited,9
Asahi Breweries Ltd,10
Asmara Breweries,11
Bakushukan Clair (Kure Beer),12
Bath Ales Ltd,13
Bear Republic Brewing Co.,14
Beck's Sports Brewery,15
Becker Brewing Company,16
Bernard Family Brewery,17
Bertram's Salmon Valley Brewery & Restaurant,18
Big Hurt Brewing Company,19
Birrificio Indipendente Elav,20
Black Forest Brew Haus & Grill,21
Black Raven Brewing Co.,22
Bluegrass Brewing Co.,23
Bluegrass Brewing Co. - East St. Matthew's,24
Bootleggers Restaurant & Brewery,25
Borodino ZAO,26
Boston Beer Company (Samuel Adams),27
Brasserie Britt de Bretagne,28
Brasserie Cantillon,29
Brasserie d'Algiers,30
Brasserie d'Orgemont,31
Brasserie De La Baie,32
Brasserie de la Senne,33
Brasserie Dieu Du Ciel,34
Brasserie La Binchoise (Malterie des Remparts),35
Brasserie Nationale (Bofferding),36
Brauerei Aldersbach,37
Brauerei An Der Thomaskirche,38
Brauerei Gasthof Hartmann,39
Brauerei Gilde,40
Brauerei Heller-Trum / Schlenkerla,41
Brauerei Neder,42
Brauhaus Lemke,43
Brew Eyed,44
Broad Ripple Brew Pub,45
Brouwerij Mort Subite,46
Brouwerij Ter Dolen N.V.,47
Brouwerij Van Viven,48
Browar Kormoran,49
Browar Okocim S.A. (Carlsberg),50
Bryggeriet Refsvindinge,51
Buckhead Brewery and Grill,52
Calapooia Brewing Company,53
Caldera Brewing Company,54
Cambridge Brewing Company,55
Catawba Valley Brewing Company,56
City Grille and Brewhaus,57
"Clockwork Beer Co, The",58
Coastal Extreme Brewing Co.,59
Consorcio Cervecero De Baja California ( La Taberna TJ ),60
Conwy Brewery Ltd,61
Coopersmith's Pub & Brewing,62
Cooperstown Brewing Company,63
Craggie Brewing Company,64
Crescent City Brewhouse,65
Crested Butte Brewing Co.,66
Crow Peak Brewing,67
"Denmark Brewing, LLC",68
Desert Edge Brewery,69
Destiny Brewing Company,70
Dostal Alley Brewpub,71
Drei Kronen 1308 Brauhaus,72
East End Brewing Company,73
Emmett's Brewing Company,74
Fernandes Brewery Tap,75
Finger Lakes Beer Company,76
Flying Fish Brewing Company,77
Formosa Brewing Co.,78
Founders Brewing Company,79
"Frog at Bercy Village, The",80
Fulton Beer,81
George Bateman and Son Ltd. / Batemans Brewery,82
Golden State Brewing Company,83
Great Basin Brewing Co.,84
Great South Bay Brewery,85
Green Man Brewery,86
Growler Craft Brewery,87
Growlers,88
Grumpy's Brewhaus,89
Guangzhou Zhujiang Brewery Co. Ltd.,90
Hacker-Pschorr Bräu GmbH,91
Harar Beer Factory,92
Harboes Bryggeri A/S,93
Harmon Restaurant & Brewery,94
Heineken Nederland B.V.,95
Highland Pub & Brewery (McMenamins),96
"Hijos De Rivera, S.A.",97
HopCat,98
Hoppin' Frog Brewery,99
Isle Of Skye Brewery,100
Jamesport Brewing Company Inc.,101
Jennings Brothers PLC,102
Kirkwood Station Brewing Company,103
Kirner Bier,104
Klosterbrauerei Weltenburg,105
Kolding Bryglaug,106
Kompania Piwowarska,107
Königsegger Walderbräu AG,108
Kössel Bräu,109
Landhausbräu Koller,110
Les Brasseurs de Gayant,111
Les Sarments,112
Lido Atputas Centrs,113
Livu Alus,114
Marco Island Brewery,115
Mariposa Brewing Company,116
Matso's Broome Brewery,117
Mattingly Brewing Company,118
McCann's Food & Brew,119
Meta Abo Brewery - Ethiopia,120
Micro-Brasserie Brouemont,121
Micro-Brasserie L'Alchimiste,122
Moon River Brewing Company,123
Naturbier,124
New Belgium Brewing,125
New Old Lompoc Brewery,126
No-Li Brewhouse,127
NoDa Brewing Company,128
Nørrebro Bryghus,129
O'Fallon Brewery,130
O'Griff's Irish Pub & Brewhouse,131
Oakshire Brewing,132
Ohio Brewing Company,133
Old Orange Brewing Co.,134
Otro Mundo Brewing Company,135
Outer Banks Brewing Station,136
Oy Sinebrychoff Ab,137
Pacific Coast Brewing Company,138
Palos De Moguer - 82,139
Pensacola Bay Brewery,140
Piccolo Birrificio,141
Pike Pub & Brewery,142
Piniavos Alutis,143
Pivara MB,144
Pivovarna Laško,145
Red Squirrel Brewery,146
Richmodis-Bräu,147
Rinkuškiai Alaus Darykloje,148
Rocky River Brewing,149
Roffey  Brewing Company,150
Rosinka,151
Roslyn Brewing,152
Rustic Rail Grill And Brewhouse,153
Rusty Truck Brewing Company / Roadhouse 101,154
Saint Ides Brewing Company,155
San Francisco Brewing Company,156
Sauris AgriBeer S.a.s,157
SBC Restaurant & Brewery - Hamden,158
Schmohz Brewing Company,159
Schnuckenbräu,160
Schorschbräu,161
Seven Brides Brewing,162
Shenandoah Brewing Co.,163
Sierra Nevada Brewing Co.,164
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,165
Solvang Brewing Company,166
Sonoma Springs Brewing Co.,167
SP Etrus,168
Stadtbrauerei Arnstadt,169
"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",170
Stoudts Brewing Co.,171
Swan Brewery,172
Sweetwater Tavern & Brewery,173
Taps Brewing Co. Inc.,174
Tenaya Creek Brewery,175
Terminal Gravity Brewing Company,176
The Bier Brewery,177
The Bruery,178
The Cowboy Restaurant & Brewery,179
The Seven Barrel Brewery,180
The Ship Inn,181
The Stable,182
The Two Metre Tall Company Pty Ltd,183
The Vermont Pub & Brewery,184
Third Base Sports Bar & Brewery,185
Trafalgar Ales & Meads,186
Vecchio Birraio,187
Walnut Brewery,188
Wapping Beers Ltd.,189
Wasatch Brew Pub,190
Weib´s Brauhaus,191
White Bluffs Brewing Company,192
Wm. Kuether Brewing,193
Yazoo Brewing Company,194
Yeastie Boys,195
Yellow Rose Brewing Company,196
Zerodegrees Bristol,197
Zum Löwenbräu,198
